,search_id,search_query,ts,cuid,total
0,gSogzavY5nP7fCLEtWdc,wyrm,2020-03-10 09:24:31.000 -0400,1259928,86
1,LJVevlnG6YSz8hWRzGAu,can you read my lips,2020-09-02 17:41:24.000 -0400,95330844,142
2,HcDHbnD7ltPkAiz5WzV3,brotherhood,2020-02-06 05:06:29.000 -0500,387121055,9101
3,gMcLq136RLayGwcTAaWC,space,2019-05-30 18:34:31+02:00,126560490,516935
4,OZ5zcPalXTnl9F2aILNJ,titles,2019-01-14 13:52:12-05:00,67184974,161300
5,ES4KAvHkRjTxdvLEZsHi,lips,2019-12-07 23:26:20.000 -0500,78134782,34012
6,6PlHuca34hz4Tcnd8DzQ,brotherhood of skiing,2020-02-19 19:54:51.000 -0500,8536266,34
7,m5qHM7T5fnkJOSWCYxS7,gallery,2018-09-25 16:23:02.000 -0400,54598922,162631
8,RCq8Lc9warr2n8Y0gqhh,snö,2018-09-12 19:46:10.000 -0400,117670766,2989
9,fXeCxI8CGeiuItNA2mKO,vimeo on demand,2020-05-19 23:21:05.000 -0400,243295225,5761
10,ha7M3djHZO3Sn0cTi6G4,oliver peoples,2019-11-04 15:33:27.000 -0500,129389270,32386
11,xhc942VhldCK8eYrDeKF,do not disturb door scene,2020-03-09 22:15:28.000 -0400,519484335,2220
12,su79q5YKHs8gAesfNCkS,2019 movie tribute,2020-01-13 21:54:42.000 -0500,44190922,112145
13,20jwpJm30ooc3Gan803t,https://petersen-riggs.info/,2019-01-30 12:07:51-05:00,318467410,0
14,KdbqWhSeFP7uZEZYeuHM,bathers,2020-01-06 03:33:31.000 -0500,505443493,475
15,cXHeSdDjrtwdMzuujAQ8,christmasvideo,2018-12-08 13:50:08+02:00,460280001,542
16,UMQSc5akrYAQAaHgEiC4,music video,2020-05-08 23:46:47.000 -0400,486775868,2144
17,nbQB0d41pnSJOPLa2arg,greener grass,2018-10-17 04:10:48.000 -0400,226686200,789
18,nKdl8SZ9pnC59FVHJNPO,opera commercial,2020-02-07 18:52:20.000 -0500,437843743,66007
19,0V8ImDPn9F4AUfBJNdM6,jordy,2020-07-28 18:39:13.000 -0400,128252570,3452
20,8Tp3DmEoaZMSWT3WEQX3,neighbors window,2019-12-20 08:10:49.000 -0500,41513982,18642
21,Kb04QogEDeYnLjGa5vu8,brotherhood,2019-11-13 02:54:28-05:00,524760511,8155
22,ot1l9wcbKXWMUGDmiPUT,japan,2020-04-30 19:25:43-04:00,119648834,149689
23,rqtPmVfspMhdOwblaiw9,vimeo best of the year 2019,2020-05-18 14:59:33.000 -0400,291065456,146
24,IU1rPlUQhJvcuma8wWCO,the man & the sea,2018-10-17 17:54:15.000 -0400,591804759,5311
25,zp4YXroD5rrmIBG1h0aQ,paramedic,2019-11-13 22:47:48.000 -0500,275250653,2250
26,TQOLnLPeP2o3hrcF8u4K,documentary,2020-03-13 15:02:08.000 -0400,536559012,484041
27,ZnUL5n8pO3r3tD47IdkU,miniature,2019-07-13 02:25:59-04:00,99376687,13417
28,YnNguGklBc6NtNHC59Cw,the ghosts eddie,2020-09-06 01:05:07.000 -0400,129525577,21
29,CsAJG8XuCv76zV76xRPJ,purity ring,2018-10-23 01:21:49.000 -0400,447981263,872
30,psIAuphieNCo7Ej9l8IU,sage kotsenburg,2018-10-27 08:37:30.000 -0400,639457690,239
31,w9hlwERCcKd0BCpb7ujb,international youth day,2020-03-22 08:44:30.000 -0400,686438902,82734
32,Mol5kcIJVpoYtHlJLXGw,run the jewels,2020-07-24 14:30:01.000 -0400,656947604,666
33,RkecYeqOSuf4rIqzogVg,discribes,2019-07-31 09:46:19-04:00,163795634,61
34,mFacEhTWwquUGEV6M9wz,studio music video,2018-09-07 13:43:27.000 -0400,130125972,36754
35,HrcWgEAk0n2kqNHsX0kl,brotherhood,2020-02-19 21:10:21.000 -0500,418077911,9067
36,ncjPiMOGALOieSeDrGeb,victoria,2019-10-15 10:20:06.000 -0400,437439989,107408
37,i3IiUD11vY3viMz8bKiS,terminator,2020-01-04 14:23:06.000 -0500,287809388,15318
38,cUxohyOYJ8i93lvn8DxX,repulic,2018-11-13 10:31:47+03:30,16978139,38
39,PE3D4rbsaozkqeBNs0du,martachierego,2020-08-17 01:31:41-04:00,61298166,0
40,GcPWkH5dUdULc9AQWB1x,unofficial music video,2020-04-13 07:23:58.000 -0400,440601817,14821
41,uLs2hPK4snV0UQvy7sj0,girl in the hallway,2019-07-17 18:38:26-04:00,596378350,28005
42,MCgsVDUUYCnkWgYJZA2P,multiple actors read one script,2020-03-18 01:18:27.000 -0400,505579375,68136
43,IOITi7zjaewXdw57MvWN,lights,2020-07-06 09:53:00.000 -0400,121052113,170666
44,QmUr1iT11HPdYPZQ8teO,earth,2018-09-03 13:23:47.000 -0400,461934673,172663
45,mlZEcWsTKbmzBaVEQocS,resort,2020-08-06 03:30:12.000 -0400,331563716,112041
46,n4zzSyyr03pyJVneGAC2,apple homepod spike,2020-01-09 18:04:03.000 -0500,317903335,10
47,OFiRnN9bFA3AW6QMxFQt,gun nation,2020-09-03 07:13:02-04:00,677337109,32650
48,O8wKBiPbMxp0CjJXuTIZ,timelapse,2020-05-26 15:41:34.000 -0400,46236914,495
49,zAmYXnG9I3anDKYwzTfJ,cross me,2019-01-02 16:24:40+01:00,306509563,98168
50,IMsJ0mZdeJ3VxNrFOfPr,floatingpeople,2019-09-28 09:38:53-04:00,513345116,5
51,sYLPxf8mVDT5nc3Apz1c,freedom ballet,2018-09-05 14:34:51.000 -0400,195698200,225
52,X7HWb7IqIfkQSNLaZbTg,barcelona,2019-08-10 23:28:15+07:00,353285311,153630
53,Fc9TJlcSuqtPttYzWc8x,the stained club,2020-01-28 08:12:34.000 -0500,169450470,10642
54,KQd9CyiDCiU9TYiyyIHC,kitt,2020-02-23 10:27:39.000 -0500,370923543,2399
55,0gN3ZQI8IiZ4imaNL99P,stop motion,2019-02-04 06:26:54-05:00,297912691,191393
56,1LxLS93FOHw1vVOyUUzU,flow motion,2018-09-17 18:39:20.000 -0400,189742890,3502
57,tIHKn9L0n4olkAWfr5gX,autumn,2018-10-12 20:03:13.000 -0400,659812712,66016
58,V3Z62p4FiUAhfywz8GjE,stop motion,2019-11-26 12:39:15.000 -0500,449490958,180995
59,phGOUpz92bNqpu658Mpl,leo and laura,2019-10-29 18:59:54.000 -0400,465629285,59702
60,oyVnS6CGBPCI3D0Y1Pei,millsmario@hotmail.com,2019-11-07 16:28:13-05:00,248859036,0
61,dUefG5DgjN02E8suEH2g,graffiti,2019-06-18 10:48:18-04:00,631054371,53086
62,smSRnGr4VzNUrDPNE0IE,romain tardy,2020-05-12 15:44:57.000 -0400,309111803,0
63,M78ACUhi5aW6Y6ViT7ZR,nefta football club,2020-02-07 10:32:23.000 -0500,611435584,10
64,maxkUv7Qf7wnokSC2QHd,ryx,2019-03-26 23:51:58-04:00,170944288,79
65,gQx0855Hsfh48h5ygb5f,macro nature,2018-09-08 16:40:40.000 -0400,321047314,652
66,5n9RcNxCpQUeSa8yR7o8,wes anderson,2019-11-18 14:56:45-05:00,374588317,2899
67,gBBNUoiLS4wq5Pag1sSx,tokyo,2020-08-07 16:42:48.000 -0400,550424828,76111
68,pjcy3t2sbW9sj8T5nn13,numbers,2018-09-24 13:02:43.000 -0400,625182121,72139
69,aIHYiATIa8eMgC7zGatL,nikes,2019-05-13 05:22:33-06:00,245662346,38510
70,Of3z27YJaUyqSzOgg3hh,proceeds of crime,2020-04-12 07:08:48.000 -0400,662995187,95
71,mtzYj8OJCiOtUxUT3u5L,language,2020-04-21 16:28:17.000 -0400,18860536,136
72,JsWbOLyRgjX0pZSk4cuc,miniature animations,2019-11-06 14:55:47.000 -0500,62132837,11146
73,j6GijOBjFCQ2kEOaFKIJ,people,2019-11-21 18:46:59.000 -0500,496278827,1086620
74,Lkcyfxaz3ISbueLCy4aq,collage animation,2020-10-21 01:28:50.000 -0400,71322781,15
75,threNm8zaYwC6dkdfnxT,artist studio,2019-12-06 11:37:15.000 -0500,580235288,113811
76,GBE25auaScqqQuKtpmuv,red,2018-10-17 10:00:38.000 -0400,386823068,420955
77,9w8537WIy5sIlN9PNtZv,transending,2020-01-12 19:46:33-05:00,348413886,12
78,aHau50yk994Eid8e9lMh,spike jonze,2020-03-20 16:14:53.000 -0400,401410119,859
79,fZdn0lYXtM5T0SjghPO6,curve,2020-09-09 14:32:57.000 -0400,680348658,20185
80,ghDahA0DxmDRfT4lMFOE,decieved,2020-03-21 13:46:30+01:00,183431315,64
81,tH2KtFYV6AKCTwt19qCn,real people,2018-09-25 11:54:33.000 -0400,34367272,55211
82,P364K3kuOPhyfL53gibu,caroline,2020-01-23 16:42:42.000 -0500,663821002,59646
83,jzWkpIzzoOhiOuoE1bv8,cats,2020-02-12 11:02:09.000 -0500,514199543,107592
84,S72AQHscIlAQFLPbs5kS,short film,2019-12-05 10:09:17.000 -0500,347810278,571756
85,vHTqgr4TJTbBsSxZIHr0,meditation scene,2019-12-07 02:41:58.000 -0500,634198224,52656
86,3O6FN2FxLE1EAZqROF4t,car,2020-02-07 06:22:56-05:00,498304466,386029
87,KgOvl77b6BSIRQzyHI3R,a worthy man,2018-10-22 18:03:26.000 -0400,654520665,983
88,VlYFCOuXKCQ5KMSbjdgR,isaac bauman,2019-11-27 14:57:56.000 -0500,354673,141
89,g4z1lpJNlMwNPeUmDyMo,the bigger picture,2018-09-11 22:07:01.000 -0400,272634640,2383
90,QspZXhyDnobIZUvB9iJo,god bless you,2020-09-07 08:40:08.000 -0400,144638735,15717
91,i69a37oGBaOE8VBxgfMj,hawaii volcanoes national park,2020-06-05 12:24:39-04:00,31961859,458
92,hUqtxKeh1oaOcoLnZciW,bearcubs ‘underwaterfall’,2018-10-24 05:21:03.000 -0400,227413666,17
93,Q7B9pqtxSSOe2lzxM8Eh,rubberband.,2020-02-18 06:14:37.000 -0500,360738910,567
94,AxL6X7f2oXJmWjnGvTAW,ashleymorton@yahoo.com,2020-01-16 22:34:17-05:00,105670857,0
95,3yAKJXocj0tdifOL03va,4k,2020-04-22 13:21:19-04:00,573169157,210925
96,kIppLD8wbKKZw8TqrXJo,holliday,2020-01-23 04:59:50-05:00,248770145,2789
97,kkTWZjChUshIYFv0oLwP,portrait film,2019-11-15 23:45:42.000 -0500,208619336,125798
98,jZs8X0qo7ctQKWpOD7Jt,relationship animation,2019-11-04 20:36:00.000 -0500,572470730,314
99,hxxpAsZ990Igwy6k7Lq4,documentary,2018-10-24 23:48:49.000 -0400,318172167,442870
100,ukTBRoTOLj8Hfph17PXZ,short film,2019-05-03 13:51:59-04:00,650854029,596412
101,Dcl38BhUndew9KxROFNL,bonobo,2020-01-10 09:47:44.000 -0500,233612919,5482
102,ShUYqZuEeNDYhtJHifM5,kim gehrig,2020-11-02 10:41:24.000 -0500,418123619,94
103,XGjc44yl18Vigpy3U1qc,cuco,2018-10-16 17:37:04.000 -0400,12336711,862
104,MKik3VObeClPhecf0VMJ,camping alone,2020-03-27 00:48:33.000 -0400,171987206,37147
105,rjBHWSkmTLQPXtt2rkrv,clown documentary,2019-12-30 19:40:36.000 -0500,35485344,12521
106,UvTzg5rFVviLchlUwDu7,in a cane field,2018-10-03 21:06:41.000 -0400,106334381,87
107,Gf373Bwzb7iqWvNKZRmK,hope jesus,2019-12-09 16:40:29.000 -0500,343036395,119730
108,nT39zoaZ065pTdcXlGe5,the heights,2019-09-01 04:53:00+13:00,99471854,31571
109,YURwlTC2FJcF7OTByYAp,music videos,2020-01-07 21:56:12.000 -0500,275566795,486074
110,f81BrhvlgXD2wnh9Z1X9,greenwood,2020-03-26 14:15:31.000 -0400,580327917,9424
111,hm05Rhibz7SzN5RrobLQ,movies,2020-01-10 03:55:12.000 -0500,545759983,434242
112,7Jylsiir1oAWUsoA6ifD,cidney hue,2020-02-14 12:31:36.000 -0500,282418092,29
113,26kEUFaiKmTNuXCNhY7J,fireworks,2018-09-27 17:03:36.000 -0400,221087351,51189
114,JhLS2EV6cB9vDb2GLtzj,sebastian linda,2019-11-15 12:49:41.000 -0500,606016836,432
115,ojzyetVkCSNm0tDvntel,thomas blanchard,2018-10-01 09:08:05.000 -0400,685816535,208
116,43DICCfPFEmmOUW4zdAU,maestro,2020-01-15 16:09:26.000 -0500,424069162,25987
117,BOwHhjyYPa6uh24ZMEYs,a little film about... joël penkman,2020-03-12 07:11:01.000 -0400,196311075,1
118,nzJKjKIyM3LnldIjQGHs,coworkers,2020-01-28 20:26:47.000 -0500,135267715,3
119,6cqmC1N1uVTnLtFlyXjP,documentary,2020-03-07 19:10:15-05:00,535309355,483198
120,1KpcYeubQIrxpO5yzNLn,edgar wright,2018-09-06 13:48:15.000 -0400,673346038,595
121,DRNQKXSl7aRvkg4ec3em,david statue,2019-11-24 11:31:36.000 -0500,175899910,23347
122,OAap03uW2AEnoRx5faBc,brandon li,2019-10-29 03:21:35.000 -0400,16630853,348
123,jci2CMCDk3tavW8ecc1q,the chair,2020-06-11 07:29:49.000 -0400,563913998,56012
124,VFriLceGMxGVTHHedPaH,dan carr,2020-01-17 23:14:22.000 -0500,357471627,14025
125,6jXfJ6rNoPBOwXHdYvot,xixi wang,2020-05-18 20:24:20.000 -0400,396662878,7
126,eXRatf4LuRHuiNx49lQU,President,2019-05-19 19:51:18+04:00,444624739,193648
127,gG77nDHsQmjdX3fZMEpC,architecture mood,2019-11-29 04:57:50.000 -0500,97830523,39646
128,xsQsXFgZhhKQCQBnuaS6,night inamerica,2019-06-28 17:56:20+00:00,57679567,0
129,x3Y8HkETx8ezt4AeaL4z,modern marketing video,2020-02-11 21:12:57.000 -0500,125592942,57873
130,GIbVk0twSMhyF2sut4O2,january japan,2020-02-07 06:33:20.000 -0500,365078266,107297
131,ObfHannXl8nvXJnZUJEn,daft punk one more time,2020-02-05 14:39:24.000 -0500,538340351,6215
132,WImnBvV1pPDoCnGoIYrQ,evol,2020-02-13 10:35:21.000 -0500,410581786,903
133,8y7mF3EwQo6b5AXau7gd,portraitof laurie,2020-07-07 15:47:19+12:00,109751042,0
134,4ZjlsXNU7vgp08wIatwR,suburbia,2020-02-14 20:41:02.000 -0500,314673500,2697
135,QspZXhyDnobIZUvB9iJo,god bless you,2019-06-30 15:01:07-04:00,144638735,15717
136,bjCs7DprtdVB87ONRKBQ,the rolling stones - criss cross,2020-09-18 04:08:05.000 -0400,159583819,2
137,mnFXBeen5QICGhXWihZe,the purgatory of monotony,2018-09-20 13:32:31.000 -0400,130125972,18
138,G1aV2tcDpwKzownAIJXq,nature video,2020-04-06 15:18:16.000 -0400,46994633,105519
139,5pY9p8VELqVd6CxZGYhh,saltflats,2019-06-08 13:19:06-04:00,142225029,401
140,qpPj2UaWYQENK4aBKdnq,work,2020-10-21 13:26:47.000 -0400,684010871,1465092
141,ReflL3w8PmIBylblMfQc,portrait ofa black man,2019-05-11 17:26:26-04:00,351747035,0
142,wqHztvztTfp07iq8R73k,https://dummyimage.com/576x25,2019-04-23 07:36:48-04:00,38410668,0
143,q2YtOHhfmci0FrvvfXSr,max cooper,2020-10-03 12:28:22+09:00,19088034,1026
144,NhdiiFTimJQsmQdktY5G,seoul wave,2018-09-17 08:55:32.000 -0400,181444144,109
145,fWr4ZEXWMLtRzBUAKElH,cuba,2018-10-09 17:23:02.000 -0400,505443493,33385
146,uzXxeLnt63Dz2MESGktF,oustanding,2020-04-07 16:45:30+02:00,212782211,137
147,Yd4QBpblkSIWfH4AyWaT,experimental art film,2019-11-26 11:12:45.000 -0500,143854507,25755
148,mUoEh6R2KdjJYlDlWuhe,escape the city,2018-10-18 09:41:06.000 -0400,240767299,3557
149,hCCzek7zkwi22tv54UB2,vimeo on demand,2019-09-06 06:46:44+00:00,663366601,4623
150,LOL6It0Y9Y8r59RyORTi,monsters,2019-01-30 13:20:10-05:00,310946647,24642
151,gmjOxlrRJ3PLZvgJ6STw,fitc,2020-10-20 02:12:31.000 -0400,637212851,569
152,pvKBMHclnYGy1ntNOHdj,norway,2019-11-05 12:23:55.000 -0500,31191873,60241
153,WgNPEExkcq39RPPR3iDG,st louis rises,2020-11-01 12:04:22.000 -0500,381317150,10
154,J8uC9fnsEynKCtgPfwe6,rei,2019-10-21 17:16:44.000 -0400,674391176,32396
155,08dEG6iE4g0xJ35Q8MU7,singapore,2019-11-03 11:51:27.000 -0500,94597135,77486
156,txLfZqISDojpVBw8IHZ1,sergey mihailov,2020-10-26 16:14:28.000 -0400,647970295,7
157,qWWynSFwEL9Rc9ugcWK8,dear maria,2020-06-22 15:02:39.000 -0400,382363077,356
158,bVyztVqd3AKZPUtQJYLa,cgi landscapes,2019-11-19 20:15:18.000 -0500,238230657,92
159,fe8jFHENUosStr6ybSCh,What figure,2020-03-05 08:16:52+04:00,364137699,15806
160,ZVYYznUw8pekUn9p1mVf,denali,2019-04-09 09:52:33-04:00,660725142,2775
161,ZTcAyh91Lii3n6sGmsOx,animation,2020-05-07 08:05:50.000 -0400,267947258,20734
162,81jstMVo8pEa1ZWLQfxu,flow state,2020-01-08 16:06:07.000 -0500,143737189,85141
163,vcXMAGR4fxd6PDC33Beq,farm,2019-10-21 17:30:45.000 -0400,338903355,139964
164,R4FhIjfeFXNRpKFTDkdj,Citizen,2020-06-09 20:20:11-04:00,54036358,28372
165,qQbosLGPu8YcfF1oFjTl,death and dying,2020-01-19 12:58:32.000 -0500,292678223,19334
166,L4q0mkwyi95aeMDQW0r1,almostperfect,2020-05-16 07:19:30-04:00,441314705,10
167,ppYqqmI5NxOcqRFi8R3w,36 days of type,2020-04-15 19:42:08.000 -0400,312628668,68502
168,kwU0agw2aId7zzEYFN4M,reorganision,2020-08-03 02:21:49-04:00,484550985,0
169,65qZHshmYKNAMnoOaidT,fauve,2020-09-06 08:06:42.000 -0400,31157669,671
170,b7RuSwZ3z0QMaQ6x0QHc,kinetic typography,2020-02-06 14:52:34.000 -0500,97633108,19287
171,JD6126fuKal6xyXaSfsB,sherren lee,2019-11-20 17:07:59.000 -0500,571320540,39
172,PQ6Z4qLW0wH5q8XJhCJs,green energy,2018-12-06 02:43:59-05:00,658100691,84287
173,lwjDXBlbqrSGtm6iwpyR,bresson,2020-10-16 20:22:31.000 -0400,278249039,1160
174,ihRR5hwEOsHawcVkbCQA,Reality year box air,2019-07-15 02:27:09-04:00,355799163,8
