,search_id,ts,cid,position
0,CjooiSDXx5dsx4ipdOoS,2018-09-03 21:24:50.000 -0400,210981,7
1,pYUNPqVjnN81YAYPAVNM,2020-01-10 22:56:47.000 -0500,174957219,1
2,MKik3VObeClPhecf0VMJ,2020-03-27 00:48:37.000 -0400,157320165,1
3,smQjy0WL69QY4BV6qAne,2020-04-08 08:55:12.000 -0400,81026516,12
4,fwBFYmGjtBDcN1M4i5KC,2019-12-13 21:15:33.000 -0500,71582564,2
5,eW1XjSX5kHGsHdZiAEHP,2020-02-12 15:15:18.000 -0500,118380572,1
6,rxwudb3dnCPYPosC8U4l,2018-10-13 00:41:12.000 -0400,136722796,6
7,O3ISbXVpt0G2iD1RWIOL,2019-02-04 06:50:02-05:00,247075867,16
8,kt8YJo8tTWWEPHH0ZRr5,2018-09-08 18:44:17.000 -0400,10105477,4
9,0gleJhUAJlnMrZ0pRbi6,2019-03-26 00:06:32-04:00,197412946,1
10,OhlIIjE2kakhGNkr6AcH,2020-08-14 10:32:22.000 -0400,447070628,2
11,XMgLvgkMIvXchUMmivoe,2020-06-22 16:04:29.000 -0400,425396315,1
12,eP0Sv2mUxVnll3elpz8r,2018-11-30 08:29:43+08:00,66288274,8
13,6OHA8Zd1XwoADRQCeqBj,2020-04-16 02:31:42.000 -0400,141567420,1
14,3K1wutNFPrC9KGzd5P2K,2019-12-13 20:45:06.000 -0500,83867491,1
15,HErheZQ7ap5EbrVH3You,2019-11-08 11:20:47.000 -0500,133697756,9
16,ky5JGDEw9KuhdUQ62x7A,2020-08-21 20:42:37.000 -0400,443437002,1
17,H3SldHDcN5DewHLU1nzc,2020-02-24 11:08:46.000 -0500,242850098,3
18,DoHT2st1KUF5v9WhJihL,2020-07-17 22:52:59.000 -0400,128032223,8
19,CiLehxSO6gttKXaJLD0S,2020-06-12 13:51:11-04:00,102958291,13
20,h4IXVQm2jNl2vLplUMk8,2020-08-08 13:57:42.000 -0400,147742438,1
